,stopName,stopDesc,zoneId,zoneName,stopLat,stopLon
768,Paska,Paska,1.0,Gdańsk,54.35008,18.63006
770,Pastelowa,Pastelowa,1.0,Gdańsk,54.30842,18.60028
771,Ciasna,Ciasna,1.0,Gdańsk,54.34918,18.62457
772,Meteorytowa,Meteorytowa (N/Ż),1.0,Gdańsk,54.41136,18.48476
773,Dwór Ferberów,Dwór Ferberów (N/Ż),1.0,Gdańsk,54.30573,18.63029
774,,Gołębia,,,54.54406,18.49909
775,Skrajna,Skrajna,1.0,Gdańsk,54.34907,18.61256
776,Węzeł Kliniczna,Węzeł Kliniczna,1.0,Gdańsk,54.3766,18.63074
777,Leśna Góra,Leśna Góra,1.0,Gdańsk,54.37373,18.55864
778,Swojska,Swojska,1.0,Gdańsk,54.37957,18.63448
779,Leśna Góra - Przychodnia,Leśna Góra - Przychodnia,1.0,Gdańsk,54.37338,18.56386
780,,Terminal Promowy,,,54.54798,18.5014
781,Żaglowa - AmberExpo,Żaglowa - Amber Expo,1.0,Gdańsk,54.38241,18.63856
782,Mjr Hubala,Majora Hubala,1.0,Gdańsk,54.38738,18.57739
783,Mostostal,Mostostal,1.0,Gdańsk,54.38577,18.64501
784,Meczet,Meczet,1.0,Gdańsk,54.39062,18.57251
785,,Wybickiego  ,,,54.43725,18.55753
786,Szpital Marynarki Wojennej,Szpital Marynarki Wojennej,1.0,Gdańsk,54.39383,18.56752
787,Śnieżna,Śnieżna,1.0,Gdańsk,54.39195,18.65729
788,Jasia i Małgosi,Jasia i Małgosi,1.0,Gdańsk,54.39788,18.56401
789,,Obłuże Centrum,,,54.55072,18.5076
791,,Kochanowskiego,,,54.4347,18.55992
792,Kolonia Uroda,Kolonia Uroda,1.0,Gdańsk,54.3923,18.6223
793,Górecka,Górecka (N/Ż),1.0,Gdańsk,54.35534,18.74535
794,Gdańska,Gdańska,1.0,Gdańsk,54.40249,18.63108
795,Przylesie,Sopot Przylesie,2.0,Sopot,54.44781,18.54059
796,Sternicza,Sternicza,1.0,Gdańsk,54.40464,18.63451
797,Okrężna,Sopot Okrężna (N/Ż),2.0,Sopot,54.4466,18.55259
798,Uniwersytet Gdański,Sopot Uniwersytet Gdański,2.0,Sopot,54.44434,18.55613
799,Wczasy,Wczasy,1.0,Gdańsk,54.40913,18.62827
800,,Cechowa,,,54.54915,18.51433
801,Sikorskiego,Sopot Sikorskiego,2.0,Sopot,54.44159,18.55822
