,stopName,stopDesc,zoneId,zoneName,stopLat,stopLon,coord,time_sec,color
320,Rynarzewo,Rynarzewo (N/Ż),1.0,Gdańsk,54.42163000000001,18.53778,"54.42163000000001, 18.53778",2778,red
334,Czyżewskiego,Czyżewskiego (N/Ż),1.0,Gdańsk,54.42214,18.56199,"54.42214, 18.56199",2229,yellow
337,Zeusa,Zeusa (N/Ż),1.0,Gdańsk,54.42226,18.462670000000006,"54.42226, 18.462670000000006",3359,red
388,Nadwodna,Nadwodna,1.0,Gdańsk,54.42281,18.56397,"54.42281, 18.56397",2137,yellow
374,Jednorożca,Jednorożca,1.0,Gdańsk,54.42415,18.47886,"54.42415, 18.47886",2521,yellow
338,Konkordii,Konkordii (N/Ż),1.0,Gdańsk,54.42448,18.45709,"54.42448, 18.45709",3015,red
326,Biwakowa,Biwakowa,1.0,Gdańsk,54.42703,18.4599,"54.42703, 18.4599",2955,red
321,Osowa Obwodnica,Osowa Obwodnica,1.0,Gdańsk,54.42888000000001,18.49606,"54.42888000000001, 18.49606",3019,red
349,Siedleckiego,Siedleckiego,1.0,Gdańsk,54.42952,18.46936,"54.42952, 18.46936",2941,red
322,Sopocka,Sopocka,1.0,Gdańsk,54.4301,18.47627,"54.4301, 18.47627",2595,yellow
325,Niedziałkowskiego,Niedziałkowskiego,1.0,Gdańsk,54.43028,18.46199,"54.43028, 18.46199",2895,red
323,Nowa,Nowa,1.0,Gdańsk,54.43251,18.47132,"54.43251, 18.47132",2655,yellow
324,Barniewicka,Barniewicka,1.0,Gdańsk,54.43421,18.46608,"54.43421, 18.46608",2775,red
347,Iławska,Iławska,1.0,Gdańsk,54.43956,18.45845,"54.43956, 18.45845",3435,red
348,Myśliborska,Myśliborska,1.0,Gdańsk,54.4419,18.45124,"54.4419, 18.45124",3495,red
481,Hokejowa,Hokejowa,1.0,Gdańsk,54.3105,18.58878,"54.3105, 18.58878",3886,black
